1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D40000001D9C7741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Mon Nov 17 04:42:01 PST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Nov 17 04:42:01 PST 2014
Total Mission Samples:  4096
Total Device Samples:  4703
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/17/14 4:42:01 AM,C,29.811
11/17/14 4:43:01 AM,C,31.496
11/17/14 4:44:01 AM,C,25.625
11/17/14 4:45:01 AM,C,20.122
11/17/14 4:46:01 AM,C,16.868
11/17/14 4:47:01 AM,C,14.738
11/17/14 4:48:01 AM,C,13.298
11/17/14 4:49:01 AM,C,12.358
11/17/14 4:50:01 AM,C,11.794
11/17/14 4:51:01 AM,C,11.418
11/17/14 4:52:01 AM,C,11.167
11/17/14 4:53:01 AM,C,10.979
11/17/14 4:54:01 AM,C,10.853
11/17/14 4:55:01 AM,C,10.728
11/17/14 4:56:01 AM,C,10.603
11/17/14 4:57:01 AM,C,10.603
11/17/14 4:58:01 AM,C,10.54
11/17/14 4:59:01 AM,C,10.477
11/17/14 5:00:01 AM,C,10.415
11/17/14 5:01:01 AM,C,10.415
11/17/14 5:02:01 AM,C,10.477
11/17/14 5:03:01 AM,C,10.477
11/17/14 5:04:01 AM,C,10.477
11/17/14 5:05:01 AM,C,10.477
11/17/14 5:06:01 AM,C,10.477
11/17/14 5:07:01 AM,C,10.477
11/17/14 5:08:01 AM,C,10.477
11/17/14 5:09:01 AM,C,10.54
11/17/14 5:10:01 AM,C,10.477
11/17/14 5:11:01 AM,C,10.415
11/17/14 5:12:01 AM,C,10.477
11/17/14 5:13:01 AM,C,10.477
11/17/14 5:14:01 AM,C,10.54
11/17/14 5:15:01 AM,C,10.54
11/17/14 5:16:01 AM,C,10.54
11/17/14 5:17:01 AM,C,10.54
11/17/14 5:18:01 AM,C,10.603
11/17/14 5:19:01 AM,C,10.603
11/17/14 5:20:01 AM,C,10.603
11/17/14 5:21:01 AM,C,10.603
11/17/14 5:22:01 AM,C,10.603
11/17/14 5:23:01 AM,C,10.54
11/17/14 5:24:01 AM,C,10.603
11/17/14 5:25:01 AM,C,10.603
11/17/14 5:26:01 AM,C,10.603
11/17/14 5:27:01 AM,C,10.603
11/17/14 5:28:01 AM,C,10.603
11/17/14 5:29:01 AM,C,10.603
11/17/14 5:30:01 AM,C,10.603
11/17/14 5:31:01 AM,C,10.603
11/17/14 5:32:01 AM,C,10.54
11/17/14 5:33:01 AM,C,10.54
11/17/14 5:34:01 AM,C,10.54
11/17/14 5:35:01 AM,C,10.54
11/17/14 5:36:01 AM,C,10.477
11/17/14 5:37:01 AM,C,10.477
11/17/14 5:38:01 AM,C,10.603
11/17/14 5:39:01 AM,C,10.791
11/17/14 5:40:01 AM,C,10.916
11/17/14 5:41:01 AM,C,10.853
11/17/14 5:42:01 AM,C,10.791
11/17/14 5:43:01 AM,C,10.853
11/17/14 5:44:01 AM,C,10.791
11/17/14 5:45:01 AM,C,10.54
11/17/14 5:46:01 AM,C,10.477
11/17/14 5:47:01 AM,C,10.477
11/17/14 5:48:01 AM,C,10.415
11/17/14 5:49:01 AM,C,10.352
11/17/14 5:50:01 AM,C,10.415
11/17/14 5:51:01 AM,C,10.415
11/17/14 5:52:01 AM,C,10.352
11/17/14 5:53:01 AM,C,10.352
11/17/14 5:54:01 AM,C,10.352
11/17/14 5:55:01 AM,C,10.415
11/17/14 5:56:01 AM,C,10.477
11/17/14 5:57:01 AM,C,10.477
11/17/14 5:58:01 AM,C,10.415
11/17/14 5:59:01 AM,C,10.415
11/17/14 6:00:01 AM,C,10.415
11/17/14 6:01:01 AM,C,10.352
11/17/14 6:02:01 AM,C,10.352
11/17/14 6:03:01 AM,C,10.352
11/17/14 6:04:01 AM,C,10.415
11/17/14 6:05:01 AM,C,10.415
11/17/14 6:06:01 AM,C,10.477
11/17/14 6:07:01 AM,C,10.415
11/17/14 6:08:01 AM,C,10.415
11/17/14 6:09:01 AM,C,10.352
11/17/14 6:10:01 AM,C,10.352
11/17/14 6:11:01 AM,C,10.289
11/17/14 6:12:01 AM,C,10.289
11/17/14 6:13:01 AM,C,10.289
11/17/14 6:14:01 AM,C,10.289
11/17/14 6:15:01 AM,C,10.289
11/17/14 6:16:01 AM,C,10.289
11/17/14 6:17:01 AM,C,10.289
11/17/14 6:18:01 AM,C,10.289
11/17/14 6:19:01 AM,C,10.289
11/17/14 6:20:01 AM,C,10.415
11/17/14 6:21:01 AM,C,10.477
11/17/14 6:22:01 AM,C,10.603
11/17/14 6:23:01 AM,C,10.603
11/17/14 6:24:01 AM,C,10.603
11/17/14 6:25:01 AM,C,10.603
11/17/14 6:26:01 AM,C,10.477
11/17/14 6:27:01 AM,C,10.352
11/17/14 6:28:01 AM,C,10.227
11/17/14 6:29:01 AM,C,10.164
11/17/14 6:30:01 AM,C,10.038
11/17/14 6:31:01 AM,C,10.038
11/17/14 6:32:01 AM,C,10.038
11/17/14 6:33:01 AM,C,10.038
11/17/14 6:34:01 AM,C,10.101
11/17/14 6:35:01 AM,C,10.101
11/17/14 6:36:01 AM,C,10.038
11/17/14 6:37:01 AM,C,9.976
11/17/14 6:38:01 AM,C,9.976
11/17/14 6:39:01 AM,C,9.913
11/17/14 6:40:01 AM,C,9.85
11/17/14 6:41:01 AM,C,9.85
11/17/14 6:42:01 AM,C,9.725
11/17/14 6:43:01 AM,C,9.725
11/17/14 6:44:01 AM,C,9.788
11/17/14 6:45:01 AM,C,9.788
11/17/14 6:46:01 AM,C,9.725
11/17/14 6:47:01 AM,C,9.725
11/17/14 6:48:01 AM,C,9.725
11/17/14 6:49:01 AM,C,9.788
11/17/14 6:50:01 AM,C,9.788
11/17/14 6:51:01 AM,C,9.725
11/17/14 6:52:01 AM,C,9.662
11/17/14 6:53:01 AM,C,9.662
11/17/14 6:54:01 AM,C,9.662
11/17/14 6:55:01 AM,C,9.662
11/17/14 6:56:01 AM,C,9.725
11/17/14 6:57:01 AM,C,9.662
11/17/14 6:58:01 AM,C,9.85
11/17/14 6:59:01 AM,C,9.85
11/17/14 7:00:01 AM,C,9.85
11/17/14 7:01:01 AM,C,9.85
11/17/14 7:02:01 AM,C,9.662
11/17/14 7:03:01 AM,C,9.474
11/17/14 7:04:01 AM,C,9.349
11/17/14 7:05:01 AM,C,9.349
11/17/14 7:06:01 AM,C,9.286
11/17/14 7:07:01 AM,C,9.286
11/17/14 7:08:01 AM,C,9.349
11/17/14 7:09:01 AM,C,9.537
11/17/14 7:10:01 AM,C,9.537
11/17/14 7:11:01 AM,C,9.474
11/17/14 7:12:01 AM,C,9.349
11/17/14 7:13:01 AM,C,9.349
11/17/14 7:14:01 AM,C,9.349
11/17/14 7:15:01 AM,C,9.349
11/17/14 7:16:01 AM,C,9.349
11/17/14 7:17:01 AM,C,9.349
11/17/14 7:18:01 AM,C,9.349
11/17/14 7:19:01 AM,C,9.349
11/17/14 7:20:01 AM,C,9.349
11/17/14 7:21:01 AM,C,9.411
11/17/14 7:22:01 AM,C,9.411
11/17/14 7:23:01 AM,C,9.411
11/17/14 7:24:01 AM,C,9.349
11/17/14 7:25:01 AM,C,9.349
11/17/14 7:26:01 AM,C,9.286
11/17/14 7:27:01 AM,C,9.411
11/17/14 7:28:01 AM,C,9.537
11/17/14 7:29:01 AM,C,9.537
11/17/14 7:30:01 AM,C,9.537
11/17/14 7:31:01 AM,C,9.474
11/17/14 7:32:01 AM,C,9.537
11/17/14 7:33:01 AM,C,9.537
11/17/14 7:34:01 AM,C,9.537
11/17/14 7:35:01 AM,C,9.537
11/17/14 7:36:01 AM,C,9.6
11/17/14 7:37:01 AM,C,9.725
11/17/14 7:38:01 AM,C,9.788
11/17/14 7:39:01 AM,C,9.788
11/17/14 7:40:01 AM,C,9.788
11/17/14 7:41:01 AM,C,9.85
11/17/14 7:42:01 AM,C,9.788
11/17/14 7:43:01 AM,C,9.788
11/17/14 7:44:01 AM,C,9.788
11/17/14 7:45:01 AM,C,9.85
11/17/14 7:46:01 AM,C,9.85
11/17/14 7:47:01 AM,C,9.913
11/17/14 7:48:01 AM,C,9.913
11/17/14 7:49:01 AM,C,9.85
11/17/14 7:50:01 AM,C,9.85
11/17/14 7:51:01 AM,C,9.913
11/17/14 7:52:01 AM,C,9.913
11/17/14 7:53:01 AM,C,9.85
11/17/14 7:54:01 AM,C,9.85
11/17/14 7:55:01 AM,C,9.913
11/17/14 7:56:01 AM,C,9.913
11/17/14 7:57:01 AM,C,9.913
11/17/14 7:58:01 AM,C,9.913
