1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E000000008C23D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Mon Nov 17 04:24:01 PST 2014
Mission Sample Count:  2048
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Nov 17 04:24:01 PST 2014
Total Mission Samples:  2048
Total Device Samples:  573095
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/17/14 4:24:01 AM,%RH,52.302
11/17/14 4:25:01 AM,%RH,52.777
11/17/14 4:26:01 AM,%RH,51.509
11/17/14 4:27:01 AM,%RH,49.597
11/17/14 4:28:01 AM,%RH,47.19
11/17/14 4:29:01 AM,%RH,59.19
11/17/14 4:30:01 AM,%RH,67.27
11/17/14 4:31:01 AM,%RH,72.034
11/17/14 4:32:01 AM,%RH,58.725
11/17/14 4:33:01 AM,%RH,68.917
11/17/14 4:34:01 AM,%RH,36.539
11/17/14 4:35:01 AM,%RH,30.657
11/17/14 4:36:01 AM,%RH,31.165
11/17/14 4:37:01 AM,%RH,33.863
11/17/14 4:38:01 AM,%RH,34.199
11/17/14 4:39:01 AM,%RH,36.206
11/17/14 4:40:01 AM,%RH,38.201
11/17/14 4:41:01 AM,%RH,38.035
11/17/14 4:42:01 AM,%RH,39.029
11/17/14 4:43:01 AM,%RH,38.863
11/17/14 4:44:01 AM,%RH,41.499
11/17/14 4:45:01 AM,%RH,40.349
11/17/14 4:46:01 AM,%RH,42.155
11/17/14 4:47:01 AM,%RH,42.482
11/17/14 4:48:01 AM,%RH,42.645
11/17/14 4:49:01 AM,%RH,42.482
11/17/14 4:50:01 AM,%RH,42.318
11/17/14 4:51:01 AM,%RH,42.482
11/17/14 4:52:01 AM,%RH,42.645
11/17/14 4:53:01 AM,%RH,43.136
11/17/14 4:54:01 AM,%RH,43.299
11/17/14 4:55:01 AM,%RH,41.827
11/17/14 4:56:01 AM,%RH,41.171
11/17/14 4:57:01 AM,%RH,42.482
11/17/14 4:58:01 AM,%RH,42.155
11/17/14 4:59:01 AM,%RH,41.991
11/17/14 5:00:01 AM,%RH,42.318
11/17/14 5:01:01 AM,%RH,44.763
11/17/14 5:02:01 AM,%RH,46.221
11/17/14 5:03:01 AM,%RH,47.512
11/17/14 5:04:01 AM,%RH,49.117
11/17/14 5:05:01 AM,%RH,48.315
11/17/14 5:06:01 AM,%RH,49.597
11/17/14 5:07:01 AM,%RH,47.351
11/17/14 5:08:01 AM,%RH,43.788
11/17/14 5:09:01 AM,%RH,42.645
11/17/14 5:10:01 AM,%RH,42.645
11/17/14 5:11:01 AM,%RH,43.299
11/17/14 5:12:01 AM,%RH,43.625
11/17/14 5:13:01 AM,%RH,43.462
11/17/14 5:14:01 AM,%RH,42.809
11/17/14 5:15:01 AM,%RH,41.499
11/17/14 5:16:01 AM,%RH,43.299
11/17/14 5:17:01 AM,%RH,43.788
11/17/14 5:18:01 AM,%RH,44.276
11/17/14 5:19:01 AM,%RH,43.136
11/17/14 5:20:01 AM,%RH,43.625
11/17/14 5:21:01 AM,%RH,43.788
11/17/14 5:22:01 AM,%RH,43.625
11/17/14 5:23:01 AM,%RH,42.645
11/17/14 5:24:01 AM,%RH,43.788
11/17/14 5:25:01 AM,%RH,42.809
11/17/14 5:26:01 AM,%RH,41.827
11/17/14 5:27:01 AM,%RH,40.842
11/17/14 5:28:01 AM,%RH,41.663
11/17/14 5:29:01 AM,%RH,42.318
11/17/14 5:30:01 AM,%RH,41.827
11/17/14 5:31:01 AM,%RH,41.991
11/17/14 5:32:01 AM,%RH,41.663
11/17/14 5:33:01 AM,%RH,42.972
11/17/14 5:34:01 AM,%RH,46.383
11/17/14 5:35:01 AM,%RH,46.706
11/17/14 5:36:01 AM,%RH,46.867
11/17/14 5:37:01 AM,%RH,46.867
11/17/14 5:38:01 AM,%RH,50.554
11/17/14 5:39:01 AM,%RH,50.554
11/17/14 5:40:01 AM,%RH,50.395
11/17/14 5:41:01 AM,%RH,51.191
11/17/14 5:42:01 AM,%RH,51.032
11/17/14 5:43:01 AM,%RH,51.826
11/17/14 5:44:01 AM,%RH,46.867
11/17/14 5:45:01 AM,%RH,45.412
11/17/14 5:46:01 AM,%RH,46.544
11/17/14 5:47:01 AM,%RH,45.25
11/17/14 5:48:01 AM,%RH,46.06
11/17/14 5:49:01 AM,%RH,47.351
11/17/14 5:50:01 AM,%RH,47.028
11/17/14 5:51:01 AM,%RH,47.351
11/17/14 5:52:01 AM,%RH,47.19
11/17/14 5:53:01 AM,%RH,47.351
11/17/14 5:54:01 AM,%RH,47.19
11/17/14 5:55:01 AM,%RH,47.994
11/17/14 5:56:01 AM,%RH,48.155
11/17/14 5:57:01 AM,%RH,48.315
11/17/14 5:58:01 AM,%RH,47.994
11/17/14 5:59:01 AM,%RH,47.833
11/17/14 6:00:01 AM,%RH,47.351
11/17/14 6:01:01 AM,%RH,46.867
11/17/14 6:02:01 AM,%RH,46.221
11/17/14 6:03:01 AM,%RH,47.512
11/17/14 6:04:01 AM,%RH,47.833
11/17/14 6:05:01 AM,%RH,47.028
11/17/14 6:06:01 AM,%RH,47.028
11/17/14 6:07:01 AM,%RH,47.028
11/17/14 6:08:01 AM,%RH,47.19
